customer_id,transaction_id,customer_age,account_age_days,customer_gender,customer_income,account_balance,transaction_amount,transaction_hour,transaction_day,transaction_type,merchant_category,payment_method,transaction_location,is_international_transaction,device_type,device_trust_score,distance_from_home_km,transactions_last_24h,transactions_last_7d,avg_transaction_amount,previous_transaction_amount,time_since_last_transaction_min,failed_transaction_count_24h,new_device_used,location_mismatch,unusual_transaction_time,is_fraud
100001,TXN0000001,39,918,Male,50105.0,70515.36,1794.21,17,Sunday,Purchase,Electronics,Credit Card,Other,No,Tablet,85.1,12.2,3,24,2832.7,1581.43,180,0,No,No,No,0
100002,TXN0000002,25,359,Other,62590.0,28556.52,2559.36,18,Wednesday,Purchase,Online Services,Credit Card,Chennai,No,Mobile,57.5,22.1,6,20,2597.48,5180.75,505,0,No,No,No,0
100003,TXN0000003,44,866,Other,152167.0,63270.12,814.52,6,Monday,Bill Payment,Electronics,Debit Card,Jaipur,Yes,Desktop,59.2,65.8,7,20,621.82,630.25,674,0,No,No,No,0
100004,TXN0000004,46,1238,Female,101289.0,25912.31,16886.13,15,Friday,ATM Withdrawal,Online Services,Credit Card,Kolkata,No,POS,71.2,34.8,7,13,22140.51,9914.7,994,0,No,No,No,0
100005,TXN0000005,18,1508,Female,29246.0,88716.95,930.44,13,Tuesday,Bill Payment,Dining,Debit Card,Chennai,No,Mobile,78.1,3.2,5,12,619.15,1268.59,47,0,No,Yes,No,0
100006,TXN0000006,22,1658,Female,42671.0,50338.06,5022.46,18,Thursday,Purchase,Clothing,Online,Bengaluru,No,Mobile,89.0,40.5,4,26,4667.78,7714.44,285,0,No,No,No,0
100007,TXN0000007,37,1136,Female,61826.0,47972.19,1001.58,9,Thursday,Purchase,Clothing,Debit Card,Delhi,No,POS,61.5,35.9,3,17,809.4,1089.08,846,0,No,No,No,0
100008,TXN0000008,33,2139,Female,53284.0,218058.65,3983.45,19,Wednesday,Online Purchase,Fuel,Debit Card,Mumbai,No,Mobile,94.6,55.4,5,20,4977.9,8136.65,137,0,No,No,No,0
100009,TXN0000009,36,1244,Male,23415.0,103995.58,309.28,1,Saturday,Purchase,Entertainment,Credit Card,Mumbai,No,Mobile,63.6,32.9,3,23,210.03,64.81,105,0,No,No,Yes,0
100010,TXN0000010,27,1226,Male,82416.0,6625.11,4681.93,12,Monday,Purchase,Grocery,Credit Card,Bengaluru,No,POS,94.8,3.2,8,17,4778.79,4207.3,4277,0,No,No,No,0
100011,TXN0000011,46,1878,Female,74506.0,29489.39,440.09,20,Tuesday,Purchase,Healthcare,Credit Card,Mumbai,No,Mobile,87.6,9.0,5,19,480.6,157.75,181,0,No,No,No,0
100012,TXN0000012,45,1215,Male,70166.0,29642.6,934.26,21,Thursday,Transfer,Online Services,Credit Card,Mumbai,No,Desktop,57.1,16.8,1,17,1361.76,565.36,1297,2,No,No,No,0
100013,TXN0000013,37,1771,Male,56912.0,37213.1,859.92,7,Wednesday,Purchase,Fuel,Contactless,Mumbai,No,Mobile,94.0,11.8,3,24,353.49,1109.71,297,0,No,No,No,0
100014,TXN0000014,48,1015,Female,20058.0,11080.92,1050.14,18,Saturday,Purchase,Grocery,Contactless,Other,No,Mobile,76.3,14.5,4,15,1005.33,1552.57,286,0,No,No,No,0
100015,TXN0000015,41,2838,Female,25380.0,51788.77,3192.06,8,Monday,Purchase,Grocery,Credit Card,Hyderabad,No,Mobile,77.6,8.6,5,15,3281.9,6577.2,196,1,No,No,No,0
100016,TXN0000016,27,514,Male,30516.0,4569.54,2690.42,13,Thursday,Purchase,Dining,Credit Card,Bengaluru,No,Mobile,70.8,22.1,9,13,2621.3,3758.76,2510,1,No,Yes,No,0
100017,TXN0000017,40,1378,Male,52854.0,25567.99,1823.78,13,Tuesday,Bill Payment,Clothing,Debit Card,Other,No,Mobile,92.8,59.8,3,22,1427.57,4135.2,744,0,Yes,No,No,0
100018,TXN0000018,25,2902,Male,26676.0,32965.84,637.03,20,Wednesday,Purchase,Fuel,Contactless,Ahmedabad,Yes,Desktop,66.1,20.6,4,13,589.65,775.39,148,0,Yes,No,No,0
100019,TXN0000019,46,435,Female,65615.0,40499.71,1559.62,23,Monday,Purchase,Grocery,Credit Card,Kolkata,No,Mobile,71.9,12.3,7,17,1247.68,2000.81,89,1,No,No,Yes,0
100020,TXN0000020,35,1370,Male,45323.0,44539.13,2792.43,17,Thursday,Purchase,Online Services,Debit Card,Bengaluru,No,Mobile,72.3,36.9,4,17,947.79,3014.65,370,0,No,No,No,0
100021,TXN0000021,34,2250,Female,55802.0,139178.66,2756.93,9,Wednesday,Purchase,Dining,Credit Card,Mumbai,No,Mobile,70.1,19.9,4,18,2092.28,3860.57,169,0,No,No,No,0
100022,TXN0000022,29,401,Male,103461.0,93914.05,1154.41,19,Friday,Transfer,Online Services,Contactless,Mumbai,No,Mobile,83.2,19.1,1,24,778.96,1195.46,87,1,Yes,No,No,0
100023,TXN0000023,49,688,Female,30729.0,60738.01,220.79,17,Friday,Purchase,Grocery,Credit Card,Pune,No,Mobile,88.2,28.6,4,13,342.71,322.34,245,0,No,No,No,0
100024,TXN0000024,34,846,Female,59927.0,150350.71,11276.29,17,Tuesday,Bill Payment,Dining,Credit Card,Hyderabad,No,POS,77.1,9.6,4,17,10557.57,29040.2,498,0,No,No,No,0
100025,TXN0000025,31,874,Male,113415.0,22373.39,505.1,18,Wednesday,Transfer,Grocery,Debit Card,Mumbai,No,POS,79.3,22.8,5,15,567.77,221.67,153,0,No,No,No,0
100026,TXN0000026,32,763,Male,47404.0,247995.41,2415.37,16,Tuesday,ATM Withdrawal,Online Services,Debit Card,Pune,No,Mobile,83.7,43.0,3,22,2628.02,1338.6,548,1,No,No,No,0
100027,TXN0000027,42,1125,Female,27946.0,57908.62,1172.51,20,Tuesday,Bill Payment,Travel,Contactless,Mumbai,No,POS,71.8,15.7,3,13,1170.43,1178.07,1542,1,No,No,No,0
100028,TXN0000028,40,1725,Male,49319.0,70697.51,1247.63,11,Tuesday,Purchase,Grocery,Online,Mumbai,No,Desktop,93.3,7.6,4,19,657.08,1014.98,6020,0,No,No,No,0
100029,TXN0000029,41,248,Male,86940.0,52383.89,106.71,7,Monday,Transfer,Electronics,Debit Card,Mumbai,No,Mobile,65.8,62.7,2,16,152.76,117.49,439,2,Yes,No,No,0
100030,TXN0000030,41,2319,Male,40914.0,40260.37,916.82,22,Thursday,Purchase,Healthcare,Debit Card,Delhi,No,POS,53.3,17.5,3,19,1125.49,1930.7,248,1,No,No,No,0
100031,TXN0000031,60,1647,Male,76666.0,64674.69,4736.35,17,Thursday,Online Purchase,Clothing,Debit Card,Mumbai,No,POS,41.2,62.7,4,12,7279.13,4977.21,1437,0,Yes,No,No,1
100032,TXN0000032,32,714,Male,23199.0,118677.45,5046.31,0,Thursday,Purchase,Grocery,Online,Mumbai,No,Mobile,73.7,7.4,2,26,4284.15,4123.91,84,1,No,Yes,Yes,0
100033,TXN0000033,30,2384,Male,28900.0,68850.32,376.89,15,Friday,Online Purchase,Grocery,Credit Card,Hyderabad,No,Desktop,84.2,32.0,4,20,691.19,228.0,348,3,No,No,No,0
100034,TXN0000034,27,597,Female,63706.0,225258.44,2200.8,13,Tuesday,Transfer,Entertainment,Contactless,Bengaluru,No,POS,83.2,2.6,4,22,2260.39,2063.43,345,0,No,No,No,0
100035,TXN0000035,43,203,Female,48054.0,34855.6,363.29,23,Friday,Transfer,Entertainment,Credit Card,Chennai,No,POS,92.6,12.6,5,17,230.4,249.62,1558,0,No,No,Yes,0
100036,TXN0000036,48,672,Female,98907.0,47327.36,15235.53,16,Thursday,Purchase,Travel,Credit Card,Jaipur,No,POS,50.5,33.9,9,22,15313.8,30935.81,607,1,No,No,No,0
100037,TXN0000037,35,1753,Male,90272.0,99931.23,3458.98,8,Saturday,Online Purchase,Online Services,Credit Card,Mumbai,No,Desktop,61.1,62.4,7,22,3192.19,3327.47,1270,0,No,No,No,0
100038,TXN0000038,27,800,Male,28292.0,34590.99,3459.71,11,Monday,Online Purchase,Clothing,Online,Hyderabad,No,POS,49.5,28.8,7,19,5091.79,2159.67,1155,0,No,No,No,0
100039,TXN0000039,27,1929,Male,38319.0,26876.67,1438.52,13,Monday,Purchase,Entertainment,Credit Card,Delhi,No,POS,79.0,2.4,3,28,3292.79,5014.19,520,0,No,No,No,0
100040,TXN0000040,43,1364,Female,92170.0,21970.81,5051.84,7,Tuesday,Purchase,Fuel,Credit Card,Kolkata,No,Mobile,75.9,28.2,4,21,6307.51,3153.21,312,0,Yes,No,No,0
